old_name,new_id
Damen Ave & Madison St,215
California Ave & Division St,216
Elizabeth (May) St & Fulton St,217
Wells St & 19th St,218
Damen Ave & Cortland St,219
Clark St & Drummond Pl,220
Milwaukee Ave & Rockwell St,222
Clifton Ave & Armitage Ave,223
Halsted St & Willow St,224
Halsted St & Dickens Ave,225
Racine Ave & Belmont Ave,226
Southport Ave & Waveland Ave,227
Damen Ave & Melrose Ave,228
Southport Ave & Roscoe St,229
Lincoln Ave & Roscoe St,230
Sheridan Rd & Montrose Ave,231
Pine Grove Ave & Waveland Ave,232
Sangamon St & Washington Blvd,233
Clark St & Montrose Ave,234
Sedgwick St & Schiller St,236
MLK Jr Dr & 29th St,237
Wolcott (Ravenswood) Ave & Montrose Ave,238
Western Ave & Leland Ave,239
Sheridan Rd & Irving Park Rd,240
Morgan St & Polk St,241
Damen Ave & Leland Ave,242
Lincoln Ave & Sunnyside Ave,243
Ravenswood Ave & Irving Park Rd,244
Clarendon Ave & Junior Ter,245
Ashland Ave & Belle Plaine Ave,246
Shore Dr & 55th St,247
Woodlawn Ave & 55th St,248
Montrose Harbor,249
Ashland Ave & Wellington Ave,250
Clarendon Ave & Leland Ave,251
Greenwood Ave & 47th St,252
Winthrop Ave & Lawrence Ave,253
Pine Grove Ave & Irving Park Rd,254
Indiana Ave & Roosevelt Rd,255
Broadway & Sheridan Rd,256
Lincoln Ave & Waveland Ave,257
Logan Blvd & Elston Ave,258
California Ave & Francis Pl (Temp),259
Kedzie Ave & Milwaukee Ave,260
Hermitage Ave & Polk St,261
Halsted St & 37th St,262
Rhodes Ave & 32nd St,263
Stetson Ave & South Water St,264
Cottage Grove Ave & Oakwood Blvd,265
Lake Park Ave & 47th St,267
DuSable Lake Shore Dr & North Blvd,268
Lake Shore Dr & North Blvd,268
Stony Island Ave & 75th St,270
Cottage Grove Ave & 43rd St,271
Indiana Ave & 31st St,272
Michigan Ave & 18th St,273
Racine Ave & 15th St,274
Ashland Ave & 13th St,275
California Ave & North Ave,276
Ashland Ave & Grand Ave,277
Wallace St & 35th St,278
Halsted St & 35th St,279
Morgan St & 31st St,280
Western Ave & 24th St,281
Halsted St & Maxwell St,282
LaSalle St & Jackson Blvd,283
Michigan Ave & Jackson Blvd,284
Wood St & Hubbard St,285
Franklin St & Adams St (Temp),286
Franklin St & Monroe St,287
Larrabee St & Armitage Ave,288
Wells St & Concord Ln,289
Kedzie Ave & Palmer Ct,290
Wells St & Evergreen Ave,291
Southport Ave & Clark St,292
Broadway & Wilson - Truman College Vaccination Site,293
Broadway & Wilson Ave,293
Broadway & Berwyn Ave,294
Broadway & Argyle St,295
Broadway & Belmont Ave,296
Paulina St & Montrose Ave,297
Lincoln Ave & Belle Plaine Ave,298
Halsted St & Roscoe St,299
Broadway & Barry Ave,300
Clark St & Schiller St,301
Sheffield Ave & Wrightwood Ave,302
Broadway & Cornelia Ave,303
Broadway & Waveland Ave,304
Western Ave & Division St,305
Sheridan Rd & Buena Ave,306
Southport Ave & Clybourn Ave,307
Seeley Ave & Roscoe St,308
Leavitt St & Armitage Ave,309
Damen Ave & Charleston St,310
Leavitt St & Lawrence Ave,311
