old_name,new_name
Michigan Ave & Balbo Ave,Buckingham Fountain
Paulina  Ave (Wood St) & North Ave,Paulina Ave & North Ave
Wood St & North Ave,Paulina Ave & North Ave
Wood St & Division St,Honore St & Division St
Loomis St & Taylor St,Throop St & Taylor St
Loomis St & Taylor St (*),Throop St & Taylor St
Throop (Loomis) St & Taylor St,Throop St & Taylor St
Orleans St & Elm St (*),Orleans St & Elm St
McClurg Ct & Illinois St,New St & Illinois St
Franklin St & Chicago Ave (Temp),Franklin St & Chicago Ave
Streeter Dr & Illinois St,Streeter Dr & Grand Ave
Michigan Ave & Congress Pkwy,Michigan Ave & Ida B Wells Dr
Clark St & Congress Pkwy,Clark St & Ida B Wells Dr
LaSalle (Wells) St & Huron St,Wells St & Huron St
Wells St & Erie St,Wells St & Huron St
Halsted St & James M Rochford St,Halsted St & Roosevelt Rd
Marshfield Ave & Cortland St,Elston Ave & Cortland St
State St & 16th St,Wabash Ave & 16th St
Wabash Ave (State St) & 16th St,Wabash Ave & 16th St
Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St
Aberdeen St & Madison St,Aberdeen St & Monroe St
Aberdeen St & Monroe St (Madison St),Aberdeen St & Monroe St
Union Ave & Grand Ave,Milwaukee Ave & Grand Ave
May St & Randolph St,Racine Ave & Randolph St
Financial Pl & Congress Pkwy,Financial Pl & Ida B Wells Dr
Financial Pl & Congress Pkwy (Temp),Financial Pl & Ida B Wells Dr
Financial Pl & Ida B Wells Dr (Temp),Financial Pl & Ida B Wells Dr
Museum Campus,Field Museum
Lake Shore Dr & Ohio St,McClurg Ct & Ohio St
Clinton St & Polk St (*),Clinton St & Polk St
900 W Harrison,900 W Harrison St
State St & Erie St,Dearborn St & Erie St
Sheffield Ave & Addison St,Sheffield Ave & Waveland Ave
Ashland Ave & Lake St (Temp),Ashland Ave & Lake St
Wentworth Ave & Archer Ave,Wentworth Ave & Cermak Rd
Wentworth Ave & Cermak Rd (Temp),Wentworth Ave & Cermak Rd
Wentworth Ave & 24th St,Wentworth Ave & 24th St (Temp)
