"id","name"
"13263","Columbus Dr & Randolph St"
"20225","Commercial Ave & 100th St"
"20213","Commercial Ave & 130th St"
"TA1309000051","Commercial Ave & 83rd St"
"20228","Constance Ave & 95th St"
"KA1503000007","Cornell Ave & Hyde Park Blvd"
"20131","Cottage Grove Ave & 111th Pl"
"TA1308000023","Cottage Grove Ave & 43rd St"
"TA1309000053","Cottage Grove Ave & 47th St"
"TA1309000067","Cottage Grove Ave & 51st St"
"KA1503000054","Cottage Grove Ave & 63rd St"
"KA1503000031","Cottage Grove Ave & 67th St"
"KA1503000003","Cottage Grove Ave & 71st St"
"TA1308000038","Cottage Grove Ave & Oakwood Blvd"
"TA1306000010","Daley Center Plaza"
"13288","Damen Ave & Charleston St"
"13132","Damen Ave & Chicago Ave"
"13271","Damen Ave & Clybourn Ave"
"13133","Damen Ave & Cortland St"
"TA1307000066","Damen Ave & Coulter St"
"13089","Damen Ave & Cullerton St"
"13136","Damen Ave & Division St"
"KA1504000149","Damen Ave & Foster Ave"
"TA1308000006","Damen Ave & Grand Ave"
"TA1307000158","Damen Ave & Leland Ave"
"13134","Damen Ave & Madison St"
"13143","Damen Ave & Melrose Ave"
"TA1305000041","Damen Ave & Pierce Ave"
"TA1309000012","Damen Ave & Sunnyside Ave"
"TA1307000070","Damen Ave & Thomas St (Augusta Blvd)"
"20.0","Damen Ave & Wabansia Ave"
"KA17018054","Damen Ave & Walnut (Lake) St"
"13268","Damen Ave & Wellington Ave"
"20113","Dauphin Ave & 103rd St"
"20116","Dauphin Ave & 87th St"
"13058","Dayton St & North Ave"
"TA1307000128","Dearborn Pkwy & Delaware Pl"
"TA1305000005","Dearborn St & Adams St"
"13045","Dearborn St & Erie St"
"TA1305000006","Dearborn St & Monroe St"
"KA1706005007","Delano Ct & Roosevelt Rd"
"15539","Desplaines St & Jackson Blvd"
"TA1306000003","Desplaines St & Kinzie St"
"15535","Desplaines St & Randolph St"
"E011","Dodge Ave & Main St"
"KA1503000069","Dorchester Ave & 49th St"
"KA1503000046","Dorchester Ave & 63rd St"
"20114","Doty Ave & 111th St"
"KA1504000142","Drake Ave & Addison St"
"KA1504000097","Drake Ave & Montrose Ave"
"KA1503000064","Dusable Harbor"
"TA1309000049","DuSable Lake Shore Dr & Belmont Ave"
"TA1309000039","DuSable Lake Shore Dr & Diversey Pkwy"
"13300","DuSable Lake Shore Dr & Monroe St"
"LF-005","DuSable Lake Shore Dr & North Blvd"
"TA1307000041","DuSable Lake Shore Dr & Wellington Ave"
"KA1503000075","DuSable Museum"
"20231","East End Ave & 87th St"
"20211","Eberhart Ave & 131st St"
"KA1503000033","Eberhart Ave & 61st St"
"20110","Eberhart Ave & 91st St"
"13289","Eckhart Park"
"20118","Eggleston Ave & 92nd St"
"13197","Elizabeth (May) St & Fulton St"
"20119","Elizabeth St & 92nd St"
"KA1503000052","Ellis Ave & 53rd St"
"KA1504000076","Ellis Ave & 55th St"
"TA1309000011","Ellis Ave & 58th St"
"KA1503000014","Ellis Ave & 60th St"
"TA1305000039","Elston Ave & Cortland St"
"TA1309000032","Elston Ave & Wabansia Ave"
